"Time","artiq.mean"
1733162400000,
1733184000000,
1733205600000,
1733227200000,
1733248800000,
1733270400000,
1733292000000,
1733313600000,
1733335200000,
1733356800000,
1733378400000,
1733400000000,17.31881121664294
1733421600000,
1733443200000,
1733464800000,
1733486400000,
1733508000000,
1733529600000,
1733551200000,
1733572800000,
1733594400000,
1733616000000,
1733637600000,
1733659200000,
1733680800000,
1733702400000,
1733724000000,
1733745600000,
1733767200000,
1733788800000,
1733810400000,
1733832000000,
1733853600000,
1733875200000,
1733896800000,
1733918400000,17.271294349836143
1733940000000,
1733961600000,
1733983200000,17.26421201076184
1734004800000,
1734026400000,
1734048000000,
1734069600000,17.257483334308745
1734091200000,
1734112800000,
1734134400000,
1734156000000,
1734177600000,
1734199200000,
1734220800000,
1734242400000,
1734264000000,
1734285600000,
1734307200000,
1734328800000,
1734350400000,
1734372000000,
1734393600000,
1734415200000,
1734436800000,
1734458400000,
1734480000000,
1734501600000,17.216873012238192
1734523200000,
1734544800000,
1734566400000,
1734588000000,
1734609600000,17.209911816451534
1734631200000,
1734652800000,
1734674400000,
1734696000000,
1734717600000,
1734739200000,
1734760800000,
1734782400000,
1734804000000,
1734825600000,
1734847200000,
1734868800000,
1734890400000,
1734912000000,
1734933600000,
1734955200000,
1734976800000,
1734998400000,
1735020000000,
1735041600000,
1735063200000,
1735084800000,
1735106400000,
1735128000000,
1735149600000,
1735171200000,
1735192800000,
1735214400000,
1735236000000,
1735257600000,
1735279200000,
1735300800000,
1735322400000,
1735344000000,
1735365600000,
1735387200000,
1735408800000,
1735430400000,
1735452000000,
1735473600000,
1735495200000,
1735516800000,
1735538400000,
1735560000000,
1735581600000,
1735603200000,
1735624800000,
1735646400000,
1735668000000,
1735689600000,
1735711200000,
1735732800000,
1735754400000,
1735776000000,
1735797600000,
1735819200000,
1735840800000,
1735862400000,
1735884000000,
1735905600000,
1735927200000,
1735948800000,
1735970400000,
1735992000000,
1736013600000,
1736035200000,
1736056800000,
1736078400000,
1736100000000,
1736121600000,
1736143200000,
1736164800000,
1736186400000,
1736208000000,
1736229600000,
1736251200000,
1736272800000,
1736294400000,
1736316000000,
1736337600000,17.06661966290975
1736359200000,17.059984514267555
1736380800000,
1736402400000,
1736424000000,17.0460347848883
1736445600000,
1736467200000,
1736488800000,
1736510400000,17.040504744696968
1736532000000,
1736553600000,
1736575200000,
1736596800000,17.032584561581317
1736618400000,
1736640000000,
1736661600000,
1736683200000,
1736704800000,
1736726400000,
1736748000000,
1736769600000,17.01546799273715
1736791200000,
1736812800000,
1736834400000,
1736856000000,17.01540654663163
1736877600000,
1736899200000,
1736920800000,
1736942400000,16.999598726163153
1736964000000,16.99942373127476
1736985600000,
1737007200000,16.993589988310724
1737028800000,16.993586988845884
1737050400000,16.991208054156477
1737072000000,
1737093600000,16.98513080589826
1737115200000,16.984021321986546
1737136800000,
1737158400000,
1737180000000,
1737201600000,
1737223200000,
1737244800000,
1737266400000,
1737288000000,
1737309600000,
1737331200000,
1737352800000,
1737374400000,16.961241140043402
1737396000000,
1737417600000,
1737439200000,16.95570295027611
1737460800000,16.95467400205575
1737482400000,16.953400540902166
1737504000000,
1737525600000,
1737547200000,16.946878024907235
1737568800000,
1737590400000,
1737612000000,16.940596160735296
1737633600000,16.93884910899156
1737655200000,
1737676800000,
1737698400000,16.93374634882044
1737720000000,
1737741600000,
1737763200000,
1737784800000,
1737806400000,
1737828000000,
1737849600000,
1737871200000,
1737892800000,
1737914400000,
1737936000000,
1737957600000,
1737979200000,16.907951564261925
1738000800000,
1738022400000,
1738044000000,
1738065600000,
1738087200000,
1738108800000,
1738130400000,
1738152000000,16.89291573621855
1738173600000,16.891431275883992
1738195200000,
1738216800000,
1738238400000,16.8844530298316
1738260000000,
1738281600000,
1738303200000,16.878836843523175
1738324800000,16.878358149999997
1738346400000,
1738368000000,
1738389600000,
1738411200000,
1738432800000,16.873242570759793
1738454400000,
1738476000000,
1738497600000,
1738519200000,
1738540800000,
1738562400000,
1738584000000,
1738605600000,
1738627200000,
1738648800000,
1738670400000,16.848587464633884
1738692000000,16.84567719765728
1738713600000,
1738735200000,16.841300610426046
1738756800000,16.839878043328664
1738778400000,
1738800000000,
1738821600000,16.836425947642276
1738843200000,16.831167985928065
1738864800000,
1738886400000,
1738908000000,
1738929600000,16.825167543522873
1738951200000,
1738972800000,
1738994400000,
1739016000000,
1739037600000,
1739059200000,
1739080800000,
1739102400000,
1739124000000,
1739145600000,
1739167200000,
1739188800000,
1739210400000,
1739232000000,
1739253600000,
1739275200000,16.794664846738474
1739296800000,16.79401570413009
1739318400000,
1739340000000,16.791253911582977
1739361600000,16.78781189396791
1739383200000,
1739404800000,
1739426400000,16.781385243897994
1739448000000,
1739469600000,
1739491200000,
1739512800000,
1739534400000,
1739556000000,
1739577600000,
1739599200000,
1739620800000,
1739642400000,
1739664000000,
1739685600000,
1739707200000,
1739728800000,
1739750400000,
1739772000000,
1739793600000,
1739815200000,
1739836800000,
1739858400000,
1739880000000,
1739901600000,
1739923200000,
